Symbol,Name
HNKG_p.DE,HENKEL PREF
METSO.HE,METSO
FORTUM.HE,FORTUM
PEO.WA,PEKAO
SMIN.L,SMITHS GRP
SOBIV.ST,SWEDISH ORPHAN BIOVITRUM
SOON.SW,SONOVA
BVI.PA,BUREAU VERITAS
BKT.MC,BANKINTER
BNZL.L,BUNZL
UNPI.MI,UNIPOL ASSICURAZIONI
BEZG.L,BEAZLEY
TEL.OL,TELENOR
TENR.MI,TENARIS
ACLN.SW,ACCELLERON INDUSTRIES
AEGN.AS,AEGON
OMVV.VI,OMV
ACCP.PA,ACCOR
AKZO.AS,AKZO NOBEL
G1AG.DE,GEA GRP
PZU.WA,PZU GROUP
ITRK.L,INTERTEK GRP
MOWI.OL,MOWI
IMI.L,IMI
SPIE.PA,SPIE
GALP.LS,GALP ENERGIA
SKAb.ST,SKANSKA B
COLOb.CO,COLOPLAST B
RXL.PA,REXEL
BCP.LS,BCO COMERCIAL PORTUGUES
YAR.OL,YARA
ADDTb.ST,ADDTECH B
HOTG.DE,HOCHTIEF
WEIR.L,WEIR GRP
EVOG.ST,EVOLUTION
PSON.L,PEARSON
MKS.L,MARKS & SPENCER GRP
ORK.OL,ORKLA
PSPN.SW,PSP SWISS PROPERTY
LOIM.PA,KLEPIERRE
BEAN.SW,BELIMO HOLDING
GTT.PA,GAZTRANSPORT ET TECHNIGAZ
MNG.L,M&G
INDUc.ST,INDUSTRIVARDEN C
SDLF.L,STANDARD LIFE
ORNBV.HE,ORION B
TLIT.MI,TELECOM ITALIA
GAW.L,GAMES WORKSHOP
FMEG.DE,FRESENIUS MEDICAL CARE
HEIO.AS,HEINEKEN HLDG
BNRGn.DE,BRENNTAG
SECUb.ST,SECURITAS B
NTGY.MC,Naturgy Energy Group
STB.OL,STOREBRAND
SKFb.ST,SKF B
SJP.L,ST.JAMES'S PLACE CAPITAL
ELI.BR,ELIA GROUP
MAERSKb.CO,A.P.MOLLER-MAERSK B
TRELb.ST,TRELLEBORG B
HMb.ST,HENNES & MAURITZ B
SUBC.OL,SUBSEA7
EUFI.PA,EUROFINS SCIENTIFIC
CONG.DE,CONTINENTAL
FRES.L,FRESNILLO
MRON.L,MELROSE INDUSTRIES
NKT.CO,NKT
SBRY.L,SAINSBURY (J)
TLXGn.DE,TALANX
LPPP.WA,LPP
ABVX.PA,ABIVAX
IG.MI,ITALGAS
KBX.DE,KNORR BREMSE
SDR.L,SCHRODERS
BAB.L,BABCOCK INTERNATIONAL
TRYG.CO,TRYG
BEIG.DE,BEIERSDORF
ELISA.HE,ELISA CORPORATION
EXOR.AS,EXOR NV
ICGIN.L,ICG
RENA.PA,RENAULT
SPX.L,SPIRAX
EBP.WA,ERSTE BANK POLSKA
ABF.L,ASSOCIATED BRITISH FOODS
MICCT.AS,THE MAGNUM ICE CREAM COMPANY
ANA.MC,ACCIONA S.A.
NDXG.DE,NORDEX
IPN.PA,IPSEN
SPMI.MI,SAIPEM
ACKB.BR,ACKERMANS & VAN HAAREN
REDE.MC,Redeia Corporacion
QIA.DE,QIAGEN
AOO.BR,AEDIFICA
LIFCOb.ST,LIFCO B
GETP.PA,Getlink
HSX.L,HISCOX
RBIV.VI,RAIFFEISEN BANK INTERNATIONAL
NEXS.PA,NEXANS
LTMC.MI,LOTTOMATICA GROUP
ALSO.PA,ALSTOM
KCRA.HE,KONECRANES
GBLB.BR,GRP BRUXELLES LAMBERT
ALEP.WA,ALLEGRO.EU
IGG.L,IG GRP HLDG
STERV.HE,STORA ENSO R
KESKOB.HE,KESKO
UHR.SW,SWATCH BEARER
JMT.LS,JERONIMO MARTINS
MRL.MC,MERLIN PROPERTIES SOCIMI
DCC.L,DCC
KGF.L,KINGFISHER
IMCD.AS,IMCD
RECI.MI,RECORDATI
NIBEb.ST,NIBE INDUSTRIER B
SATG_p.DE,SARTORIUS PREF.
RILBA.CO,RINGKJOBING LANDBOBANK
AMUN.PA,AMUNDI
AIXGn.DE,AIXTRON
AM.PA,DASSAULT AVIATION
SCAb.ST,SVENSKA CELLULOSA AKTIE. SCA B
G24n.DE,SCOUT24
TE.PA,Technip Energies
SQN.SW,SWISSQUOTE 'R'
LAND.L,LAND SECURITIES
SCOR.PA,SCOR
CTEC.L,CONVATEC PLC
ZALG.DE,ZALANDO
TKAG.DE,THYSSENKRUPP
EMSN.SW,EMS-CHEMIE HLDG
ALSYDB.CO,AL SYDBANK
BRBY.L,BURBERRY
VOES.VI,VOESTALPINE
HWDN.L,HOWDEN JOINERY GRP
INDT.ST,INDUTRADE
PNDORA.CO,PANDORA
AUTOA.L,AUTOTRADER GROUP
JYSK.CO,JYSKE BANK
BEIJb.ST,BEIJER REF AB
EDEN.PA,EDENRED
LMPL.L,LONDONMETRIC PROPERTY PLC
AVOL.SW,AVOLTA
PSHG_p.DE,PORSCHE AUTOMOBIL HLDG PREF
SBMO.AS,SBM OFFSHORE
SAVE.ST,NORDNET
ANDR.VI,ANDRITZ
SSABb.ST,SSAB B
BALF.L,BALFOUR BEATTY
HAGG.DE,HENSOLDT
ELIS.PA,ELIS
BGEO.L,LION FINANCE GROUP
FHZN.SW,FLUGHAFEN ZURICH
NAFG.DE,AURUBIS
CDR.WA,CD PROJECT SA
P911_p.DE,DR ING HC F PORSCHE PREF.
R3NK.DE,RENK
GALE.SW,GALENICA SANTE AG
BLND.L,BRITISH LAND COMPANY
DHER.DE,DELIVERY HERO
BARN.SW,BARRY CALLEBAUT
ISS.CO,ISS AS
LEGn.DE,LEG IMMOBILIEN
GJFG.OL,GJENSIDIGE FORSIKRING
ABDN.L,ABERDEEN GROUP
LAGRb.ST,LAGERCRANTZ GROUP 'B'
FRO.OL,FRONTLINE
EVKn.DE,EVONIK INDUSTRIES
LHAG.DE,LUFTHANSA
AAK.ST,AAK
SB1NO.OL,SPAREBANK 1 SOR-NORGE ASA
STDM.PA,SARTORIUS STEDIM BIOTECH
WTB.L,WHITBREAD
VLLP.PA,VALLOUREC
IDR.MC,INDRA SISTEMAS
CRDA.L,CRODA INTERNATIONAL
EDPR.LS,EDP RENOVAVEIS
WDPP.BR,WDP
ALKb.CO,ALK-ABELLO B
VERB.VI,VERBUND
LOTB.BR,LOTUS BAKERIES
TEMN.SW,TEMENOS
TUB.BR,FINANCIERE DE TUBIZE
BMED.MI,BANCA MEDIOLANUM
SIGNC.SW,SIG GROUP AG
BTRW.L,BARRATT REDROW
AZMT.MI,AZIMUT HLDG
VEND.OL,VEND MARKETPLACES
AYV.PA,Ayvens
JMAT.L,JOHNSON MATTHEY
MYCR.ST,MYCRONIC
INVP.L,INVESTEC
ENAG.MC,ENAGAS
SYENS.BR,SYENSQO
AKE.PA,ARKEMA
CAST.ST,CASTELLUM
INPST.AS,INPOST
VAR.OL,VAR ENERGI
HUBN.SW,HUBER+SUHNER 'R'
GL9.IR,GLANBIA
PSN.L,PERSIMMON
NEKG.DE,NEMETSCHEK
BBOXT.L,TRITAX BIG BOX REIT
IETB.BR,D'IETEREN GROUP
RMV.L,RIGHTMOVE GRP
SALM.OL,SALMAR
MAP.MC,MAPFRE
AVANZ.ST,AVANZA BANK HLDG
BCVN.SW,BANQUE CANTONALE VAUDOISE
CPRI.MI,DAVIDE CAMPARI
A2.MI,A2A
SAGAb.ST,SAGAX 'B'
ENT.L,ENTAIN
ZEG.L,ZEGONA COMMUNICATIONS
BZU.MI,BUZZI
GETIb.ST,GETINGE B
PLUSP.L,PLUS500
SOF.BR,SOFINA
GF.SW,GEORG FISCHER
DNP.WA,DINO POLSKA SA
ALLN.SW,ALLREAL HLDG
EXHO.PA,SODEXO
LUNDb.ST,LUNDBERGFORETAGEN B
ITV.L,ITV
BALDb.ST,FASTIGHETS BALDER B
BOLL.PA,BOLLORE
MBK.WA,MBANK
BKGH.L,BERKELEY GRP HLDG
MNDI.L,MONDI
BIOX.PA,BIOMERIEUX
DRX.L,DRAX GRP
TEPRF.PA,TELEPERFORMANCE
SECTb.ST,SECTRA 'B'
INCH.L,INCHCAPE
GFCP.PA,GECINA
SUNN.SW,SUNRISE N A
SFZN.SW,SIEGFRIED 'R'
EMG.L,MAN GRP
CWK.L,CRANSWICK
WPP.L,WPP
BKWB.SW,BKW
UMI.BR,UMICORE
TPRO.MI,TECHNOPROBE SPA
RS1R.L,RS Group
EVDG.DE,CTS EVENTIM
ADEN.SW,ADECCO
CVC.AS,CVC CAPITAL PARTNERS
SRP.L,SERCO GRP
VALMT.HE,Valmet
GBFG.DE,BILFINGER
BGN.MI,BCA GENERALI
HRA.MI,HERA
FNTGn.DE,FREENET
TW.L,TAYLOR WIMPEY
RAAG.DE,RATIONAL
AAF.L,AIRTEL AFRICA PLC
NOD.OL,NORDIC SEMICONDUCTOR
VSURE.ST,VERISURE
VATN.SW,VALIANT
CMBN.SW,CEMBRA MONEY BANK
KGX.DE,KION GROUP
UNI.MC,UNICAJA BANCO S.A.
CVO.PA,COVIVIO
MANTA.HE,Mandatum
MOBN.SW,MOBIMO HLDG
CCL.L,CARNIVAL
PNN.L,PENNON GRP
INGP.WA,ING BANK SLASKI BSK
ITPG.MI,INTERPUMP GRP
ROR.L,ROTORK
KBCA.BR,KBC ANCORA
ADP.PA,ADP
BFT.WA,BENEFIT SYSTEMS
AALB.AS,AALBERTS
TUI1n.DE,TUI
ZAB.WA,ZABKA GROUP
SUN.SW,SULZER
AXFO.ST,AXFOOD
LATOb.ST,LATOUR INVESTMENT B
BCU.MI,BRUNELLO CUCINELLI
PHP.L,PRIMARY HEALTH PROPS.
TEGG.DE,TAG IMMOBILIEN AG
CSG.AS,CSG A
NEXII.MI,NEXI SPA
PAFR.L,PAN AFRICAN RESOURCES
IVG.MI,IVECO GROUP
SCYR.MC,SACYR
RAND.AS,RANDSTAD
PUMG.DE,PUMA
TCAPI.L,TP ICAP
FTKn.DE,FLATEXDEGIRO N
FDJU.PA,FDJ UNITED
LOOMIS.ST,LOOMIS
WBSV.VI,WIENERBERGER
QLT.L,QUILTER
FLS.CO,FLSMIDTH & COMPANY
MTO.L,MITIE GROUP
RUBF.PA,RUBIS
TBCG.L,TBC BANK GROUP
FPE3_p.DE,FUCHS PREF
HUH1V.HE,HUHTAMAKI
SDFGn.DE,K + S
BWY.L,BELLWAY
VZN.SW,VZ HOLDING 'N'
ZELA.CO,ZEALAND PHARMA
PIRC.MI,PIRELLI & C. S.P.A.
HIK.L,HIKMA PHARMACEUTICALS
AG1G.DE,AUTO1 GROUP
FRAG.DE,FRAPORT
ARDS.AS,ARCADIS
KMAR.OL,KONGSBERG MARITIME
RBREW.CO,ROYAL UNIBREW
ALLFG.AS,ALLFUNDS GROUP
DEMANT.CO,DEMANT
ROCKb.CO,ROCKWOOL B
GRLS.MC,GRIFOLS
SWECb.ST,SWECO 'B'
BC8G.DE,BECHTLE
LIGHT.AS,SIGNIFY
SFSN.SW,SFS GROUP
PUIGb.MC,PUIG BRANDS B
ACPP.WA,ASSECO POLAND
VLOF.PA,VALEO
VOPA.AS,VOPAK
QQ.L,QINETIQ GRP
DKSH.SW,DKSH HOLDING
DLG.MI,DE LONGHI
TPE.WA,TAURON
SHCS.L,SHAFTESBURY CAPITAL
HOCM.L,HOCHSCHILD MINING
UTG.L,UNITE GROUP PLC
THULE.ST,THULE GROUP
VIS.MC,VISCOFAN
REY.MI,REPLY
HOLMb.ST,HOLMEN B
BPTB.L,BRIDGEPOINT GROUP
BUCN.SW,BUCHER INDUSTRIES
BAKKA.OL,BAKKAFROST
MWDP.PA,WENDEL
SOPR.PA,SOPRA STERIA GROUP
INWT.MI,INWIT
DLN.L,DERWENT LONDON
BYG.L,BIG YELLOW GROUP
WIHL.ST,WIHLBORGS FASTIGHETER
CAMX.ST,CAMURUS
KEMIRA.HE,KEMIRA
HIAB.HE,HIAB
TOM.OL,TOMRA SYSTEMS
AMV0n.DE,AUMOVIO
VID.MC,VIDRALA
BAVA.CO,BAVARIAN NORDIC
BMEB.L,B&M EUROPEAN VALUE RETAIL
DIOR.PA,CHRISTIAN DIOR
JD.L,JD SPORTS FASHION
WALLb.ST,WALLENSTAM B
AMBUb.CO,AMBU 'B'
EZJ.L,EASYJET
VTYV.L,VISTRY GROUP
